,Real_score,Predicted_score
0,5.1,4.773723526965068
1,3.6,4.549481991442164
2,4.6,4.392853256277257
3,4.2,4.475455995738357
4,5.8,4.836464615510688
5,6.0,5.239937268853394
6,5.0,4.902551167214423
7,4.5,5.151050153797762
8,2.4,4.808846770421156
9,3.6,4.1768741313791935
10,4.8,4.798749133848718
11,4.78571428571429,5.114350325896869
12,4.7,4.838828047349407
13,5.0,5.2110729311536925
14,5.3,4.23733670551237
15,5.5,4.508124201426101
16,4.4,4.726850217830608
17,3.8,5.105241968732491
18,2.5,4.510395751413747
19,5.0,5.123487714245691
20,5.7,4.870022736247054
21,4.1,4.3044187621329035
22,6.08333333333333,5.102116637029021
23,5.3,4.857757863554143
24,4.3,4.7853042575475415
25,4.8,4.816769128570275
26,5.1,4.921694972785934
27,5.1,4.318346691295183
28,5.3,4.829026947109588
29,5.1,5.1182052820521715
30,5.4,4.635617299469517
31,5.4,4.910861634443924
32,5.5,5.174110878973485
33,3.5,5.027492970247796
34,4.3,4.597367688594983
35,3.2,4.308268731778439
36,5.6,4.944855364263066
37,2.7,4.640235401973227
38,6.1,5.0282667281475995
39,5.2,4.853100511897196
40,5.0,5.2465572909002685
41,4.2,4.462217784561493
42,3.1,4.4001353181133815
43,3.8,4.30989198288841
44,4.9,5.057923432843648
45,4.2,5.244422316251534
46,4.8,5.0426346852759245
47,3.3,4.6384017750701
48,5.8,4.766116133284776
49,2.5,4.6288987154730545
50,5.5,4.777980110829606
51,3.0,4.6684183031077735
52,5.1,4.793103414111033
53,5.5,5.053163559765436
54,5.6,4.870569979046327
55,4.5,5.135654883963203
56,5.9,4.600554661592335
57,4.6,4.4297133861702
58,5.3,4.697787161336001
59,6.3,4.982409805070575
60,6.4,5.063492055558124
61,4.7,4.8383547127594575
62,4.0,4.797599638981276
63,4.9,5.046349154980557
64,4.4,4.830292833752884
65,4.3,4.9120813694415055
66,4.5,4.4179556939745375
67,5.3,5.054049406364096
68,4.4,4.105040251487022
69,4.7,4.762461667937903
70,4.5,5.161190757514959
71,4.3,4.461813937808177
72,4.9,4.905140667689135
73,4.9,4.717928229834904
74,5.4,4.914810405486053
75,2.6,4.010911021856781
76,4.1,5.111635518059981
77,2.9,4.094442821854389
78,5.5,4.822107709505809
79,5.1,4.887622560461393
80,5.1,4.752194008203281
81,4.8,4.839267284127806
82,4.9,4.732066370189937
83,5.0,4.922957646767352
84,4.9,5.3682616454753935
85,4.2,4.826306887259841
86,5.3,5.163374757862743
87,5.6,4.9525224036493745
88,6.5,4.889265347070256
89,5.8,4.5225081208446465
90,4.1,5.247064776444084
91,4.4,4.525956703359193
92,5.1,4.954576173920161
93,2.5,4.783847216810534
94,4.41666666666667,4.893504279744529
95,5.2,4.8237267236121015
96,3.8,4.08484477947085
97,3.1,3.764725880600635
98,4.08333333333333,4.7335874976122065
99,5.5,4.788580290318828
100,5.0,4.9926604072619885
101,5.1,4.73718663570586
102,5.2,5.1587555343713305
103,4.9,5.015653108435068
104,3.1,4.693425888326576
105,3.7,4.793664470168837
106,5.5,4.9867624579612215
107,4.3,4.338388020356081
108,2.8,4.046244438249365
109,4.7,4.566948965613248
110,5.5,4.42490893477721
111,5.2,4.50823749541813
112,3.7,4.847842317081961
113,5.8,5.175741707305432
114,5.5,4.75668429426435
115,4.9,4.85891432978368
116,2.0,4.4384733895945185
117,4.1,4.731577893046512
118,5.3,4.88304248368982
119,4.2,4.384329826598666
120,4.6,5.039637983347638
121,4.9,5.021886720709868
122,5.6,5.026605663317771
123,3.7,4.374216102793711
124,5.4,4.8432818383610075
125,4.6,4.9246979122660015
126,5.5,5.3000794890513765
127,6.4,5.006089771474756
128,4.7,4.3883231396836075
129,4.3,5.043365326869452
130,5.5,5.137429403709862
131,5.4,4.861798374338443
132,5.7,5.009114628926412
133,5.0,5.065348349273812
134,3.4,4.34089759916888
135,4.4,4.902479825366617
136,3.8333333333333295,4.892511916881999
137,3.8,4.540011754879481
138,5.6,4.764140455332372
139,4.7,4.901338808442499
140,3.1,4.195249325041594
141,4.4,5.016398858952549
142,6.1,5.0590141788868594
143,3.1,4.441642437210202
144,5.0,4.694402630413697
145,4.8,5.129620529445691
146,4.9,4.792234353592455
147,4.4,4.494107547544675
148,4.8,4.811073773345168
149,5.4,4.809291293029894
150,5.0,4.962107447974728
151,5.25,4.919427824048174
152,5.1,5.201138308036381
153,4.9,4.535908345701623
154,5.0,5.132587175342957
155,5.0,4.617186541137466
156,2.5,4.127052399843576
157,4.9,4.964394327435336
158,3.7,5.059746574091877
159,4.8,4.681201987410309
160,5.3,5.004645648353079
161,5.1,4.931050519189269
162,4.2,4.807092859829484
163,4.6,4.700766877531722
164,5.6,5.256072282456362
165,3.5,4.344865354282071
166,4.5,4.981184253462359
167,2.6,4.485851430129472
168,5.4,4.466668030485086
169,5.21428571428571,4.833041587337728
170,5.08333333333333,4.546670961603082
171,4.9,4.950391373288111
172,3.6,4.99097928461053
173,4.1,4.722896024024172
174,5.2,5.142700255742803
175,4.2,4.789831580927209
176,4.8,4.806839415060684
177,3.6,4.860959118082022
178,4.1,4.75692314906021
179,4.2,5.125262034085719
180,5.5,4.494237733740915
181,4.6,4.967883476372512
182,5.1,5.019159585504925
183,5.3,5.025804719638923
184,4.7,5.106719636374564
185,3.7,4.6829116702513085
186,5.5,5.000241565270468
187,4.3,4.551134494190245
188,5.66666666666667,4.943415348337979
189,4.8,4.800912610504081
190,4.5,4.556105852941794
191,2.6,4.128559614581058
192,5.7,5.149414730565675
193,3.8,5.284205821954792
194,5.8,5.114313592641711
195,4.0,4.703480640979099
196,6.4,4.914145717116205
197,4.6,4.87547760790759
198,4.6,4.30421532497725
199,5.3,4.932450796585953
200,5.2,4.958703142909434
201,4.91666666666667,4.790348238273765
202,4.2,4.347029038387893
203,5.2,4.935707644311704
204,5.6,5.056070834347606
205,5.1,4.7408427973924585
206,6.3,4.821567111735786
207,5.0,4.8079577785008345
208,4.0,4.6711402677548435
209,5.5,5.112679410467561
210,5.5,5.120158789187687
211,4.2,4.43931928229153
212,5.9,5.007811874012517
213,4.9,4.726986885916063
214,6.2,4.893316908350624
215,4.8,4.864000938704089
216,5.0,4.876638328313743
217,2.8,4.628929179558152
218,4.4,4.870996559815997
219,5.1,4.627526425784384
220,4.2,4.820007419585556
221,5.3,4.8880191972006495
222,5.5,4.5712363213558005
223,4.1,5.4075060794981695
224,3.6,4.305826530602887
225,3.6,4.739335136490867
226,4.8,5.041912405300568
227,3.6,4.584904950186441
228,5.0,4.7534671575360266
229,5.4,4.775294387023898
230,5.4,5.003948724145157
231,4.7,4.870854712769498
232,4.19047619047619,5.008081001212805
233,5.9,4.931197592325576
234,3.3,4.7362956115200445
235,5.1,4.8395345382632335
236,2.9,5.090876439266314
237,5.1,5.0938318621268905
238,3.3,4.711061278607346
239,5.2,5.013197186365676
240,5.9,4.979692661790367
241,4.6,4.886498848376707
242,5.1,4.980577577044828
243,6.0,4.769113209573633
244,4.2,4.440314325302619
245,4.3,5.126202910999708
246,4.6,4.4083730204249605
247,3.7,4.131454792345296
248,5.3,4.888635950235132
249,5.8,5.257293789736538
250,5.8,4.950589343323563
251,5.2,4.639883690605381
252,4.6,4.800410258580597
253,5.2,4.928137194997449
254,2.8,4.397060694677512
255,5.5,4.90845268531483
256,5.3,4.9842079782650535
257,5.0,4.772452612618653
258,3.7,4.715552952354908
259,5.0,4.7562387746800185
260,2.0,3.8900767163566097
261,4.9,4.558795082703204
262,5.2,5.483480772944347
263,4.4,4.757824397769039
264,5.0,4.858184774480371
265,3.5833333333333304,4.576563778393475
266,5.16666666666667,4.814519204340537
267,4.6,4.946134900312392
268,3.9,3.8169957073015834
269,4.9,4.866502433284553
270,4.7,4.447219272261174
271,4.6,4.366836935284015
272,2.9,3.799245423657056
273,4.9,4.787423442302394
274,2.7,4.411041529367052
275,4.6,4.475946448149343
276,3.9,4.559755186804977
277,5.3,4.936596997668153
278,6.1,5.067181040104192
279,4.6,5.134456850063337
280,3.6,4.386850178621614
281,5.2,4.42957870534761
282,6.0,5.223214413172687
283,5.0,4.728356371794119
284,4.9,5.462737424381649
285,5.1,5.0308181500986695
286,5.4,4.935708828568158
287,5.1,4.799168138524309
288,5.4,4.866148683483005
289,4.6,5.006275828237663
290,5.8,5.22004425006422
291,2.7,4.473635045083196
292,5.5,4.867836359163837
293,4.9,5.020898783653559
294,4.9,4.555116148274643
295,3.9,4.345987113495333
296,5.6,5.170717421435749
297,4.6,4.917788978348603
298,5.1,4.9497551683813
299,4.8,5.342775471262733
300,5.0,4.968256981842928
301,5.7,4.749582007444665
302,5.4,5.31035355821351
303,2.8,3.9958157521602313
304,4.4,4.563032175006214
305,5.1,5.230989344820698
306,5.1,4.785897797685967
307,4.1,4.662744237769477
308,3.6,4.832334505831367
309,4.1,5.09396218139355
310,4.2,5.061164330447482
311,4.2,4.462530978406224
312,4.5,4.3663050302641535
313,4.7,4.269203795348825
314,4.3,5.052622287010425
315,5.1,4.728929682035879
316,5.1,4.9528607932871145
317,5.1,4.6842572359694925
318,3.9,4.464533867554153
319,5.4,5.117946201340698
320,5.0,4.930924751289869
321,4.8,4.610634792194976
322,6.0,5.241534257929594
323,5.0,4.940254138627956
324,5.7,4.6907796541939994
325,3.7,4.689315860743963
326,4.2,4.859705519242022
327,6.0,4.780170058350066
328,5.2,4.50873036989421
329,5.2,4.728721624745405
330,5.6,5.142730829524046
331,4.6,4.772781615845757
332,4.5,4.5678360501925965
333,4.3,4.465273854795682
334,3.2,4.802659511237129
335,5.1,4.851802847555243
336,5.1,4.737740179715688
337,5.3,4.790446223463174
338,5.66666666666667,5.100168515471289
339,2.64285714285714,4.1960435836608285
340,4.8,5.031611186660795
341,5.6,5.103542849063928
342,6.1,4.75036526972103
343,3.8,4.554547427860378
344,5.6,4.632363339663134
345,5.0,5.218960461831107
346,4.3,4.8185464082361325
347,5.4,4.886956200403926
348,5.5,4.546199133654703
349,5.3,5.026158254227827
350,3.0,4.514113129250917
351,5.0,5.277793979029292
352,4.4,4.847328921608941
353,4.0,4.733313105596007
354,3.4,4.5717067617102725
355,5.5,4.966521833736937
356,5.8,5.096370149287289
357,3.6,4.761266963131113
358,4.6,4.790548416744022
359,4.6,4.653070767476245
360,5.3,4.956385792222901
361,5.1,4.5633090467924955
362,4.1,4.6640489880084655
363,3.7,4.573442875817139
364,4.4,5.161680620606189
365,5.3,4.977238025374823
366,5.3,4.6998043449177525
367,2.9,4.4751039138154765
368,4.9,4.579100711021393
369,2.7,4.4906772240084925
370,5.6,4.933865601751723
371,3.3,4.8450035923108175
372,4.3,5.322403380059054
373,3.6,4.579095243980111
374,5.4,4.781517787468045
375,5.1,4.799851505163314
376,3.9,4.494736849916097
377,4.4,4.627934739246506
378,3.4,4.5996286648573514
379,5.2,4.812568960970324
380,4.16666666666667,4.973450179093564
381,6.0,4.940926036277213
382,3.1,5.069599641604994
383,4.9,4.575226096738841
384,4.58333333333333,5.039398817778718
385,5.4,4.7782339303418535
386,4.9,4.676503271900686
387,4.4,4.724432520240474
388,4.6,4.993607283491699
389,6.1,4.892455648982356
390,2.0,3.9556073840634496
391,5.2,4.7313181633672
392,4.5,5.043395740003427
393,5.2,4.640180224613919
394,4.6,4.98321940327896
395,5.2,4.963257050605429
396,5.1,4.671905318551657
397,5.0,4.754820720110682
398,5.2,5.026932560552218
399,5.0,5.008893521515675
400,4.1,4.9076399029294535
401,5.4,5.349972047739632
402,4.4,4.480653647301509
403,3.9,4.421348713377762
